Array.Sort,0.062,0.056,0.057,0.055,0.056,0.056,0.055,0.055,0.055,0.055
Heap Sort,0.326,0.323,0.339,0.318,0.32,0.32,0.314,0.318,0.315,0.319
Merge Sort,0.218,0.228,0.212,0.212,0.216,0.211,0.211,0.214,0.212,0.214
Top-down Merge Sort,0.16,0.158,0.16,0.159,0.159,0.159,0.156,0.155,0.155,0.16
Quick Sort,0.122,0.126,0.122,0.123,0.122,0.123,0.127,0.12,0.12,0.122
